text,size,topic
rt,1533,0
grillo,708,0
@canemajico,679,0
ungiornodapecora,662,0
mastrorosa,638,0
bestemmia,606,0
berlusconi?,605,0
berlusconi,603,0
berluscone,601,0
berlusca,600,0
berlinguer,599,0
bere,598,0
bello,596,0
beast,583,0
battuta,582,0
azionista,581,0
avversari,580,0
avezzano,579,0
solo,576,0
voto,572,0
sinistra,509,0
@matteosalvinimi,508,0
spazio,500,0
#salvini,500,0
cancellare,498,0
reato,498,0
rimprovero,497,0
voto sinistra,497,0
rimprovero voto sinistra,497,0
#salvini grillo,497,0
reato clandestinità spazio,497,0
grillo rimprovero,497,0
voto sinistra cancellare,497,0
clandestinità spazio solo,497,0
rimprovero voto,497,0
clandestinità,497,0
cancellare reato clandestinità,497,0
sinistra cancellare,497,0
#salvini grillo rimprovero,497,0
reato clandestinità,497,0
cancellare reato,497,0
grillo rimprovero voto,497,0
spazio solo,497,0
clandestinità spazio,497,0
sinistra cancellare reato,497,0
rt @matteosalvinimi,496,0
@matteosalvinimi #salvini,496,0
@matteosalvinimi #salvini grillo,496,0
rt @matteosalvinimi #salvini,496,0
#vinciamonoi,294,0
